date,expiry,T,T_bucket,beta,sabr_rmse,js_rmse
2025-07-11,2025-08-29,0.1341546885694729,Medium,0.5,0.2655547093194116,0.26102221737886977
2025-07-11,2025-08-29,0.1341546885694729,Medium,0.7,0.11828359692526604,0.05600474332032497
2025-07-11,2025-08-29,0.1341546885694729,Medium,1.0,0.004239686198055469,0.004241721747518097
2024-06-28,2024-09-27,0.2491444216290212,Long,0.5,0.37298430675881694,0.05568884149321814
2024-06-28,2024-09-27,0.2491444216290212,Long,0.7,0.17999885600820487,0.08770573498523442
2024-06-28,2024-09-27,0.2491444216290212,Long,1.0,0.006773406546612842,0.006775223583193673
2025-12-05,2026-03-27,0.3066392881587953,Long,0.5,0.26208953220796444,0.08144632695524566
2025-12-05,2026-03-27,0.3066392881587953,Long,0.7,0.1382535277575422,0.08231430591240611
2025-12-05,2026-03-27,0.3066392881587953,Long,1.0,0.0007905754033794242,0.0008114859719705147
2025-06-13,2025-09-26,0.2874743326488706,Long,0.5,0.23700020056511895,0.18803057588606384
2025-06-13,2025-09-26,0.2874743326488706,Long,0.7,0.127588293308027,0.07569663428853032
2025-06-13,2025-09-26,0.2874743326488706,Long,1.0,0.0023510001680656523,0.0023545988824268836
2024-12-20,2025-03-28,0.2683093771389459,Long,0.5,0.3867410288287948,0.3631605718285843
2024-12-20,2025-03-28,0.2683093771389459,Long,0.7,0.1948247990277898,0.09709086364721142
2024-12-20,2025-03-28,0.2683093771389459,Long,1.0,0.008240712803303636,0.008243933143488447
2024-09-27,2024-12-27,0.2491444216290212,Long,0.5,0.3677335469819652,0.07908234329678566
2024-09-27,2024-12-27,0.2491444216290212,Long,0.7,0.16430379754837326,0.06309838211044057
2024-09-27,2024-12-27,0.2491444216290212,Long,1.0,0.007455694914092115,0.007459063386904244
2025-09-05,2025-12-26,0.3066392881587953,Long,0.5,0.20161212857554656,0.1284611730991003
2025-09-05,2025-12-26,0.3066392881587953,Long,0.7,0.114711988995028,0.0644108335527826
2025-09-05,2025-12-26,0.3066392881587953,Long,1.0,0.0025649449945921326,0.0025687304068770993
2025-06-06,2025-09-26,0.3066392881587953,Long,0.5,0.2691037386043622,0.07088621340453335
2025-06-06,2025-09-26,0.3066392881587953,Long,0.7,0.12214421689734449,0.06995458064895485
2025-06-06,2025-09-26,0.3066392881587953,Long,1.0,0.004550257761764751,0.004556416965275921
2026-03-06,2026-06-26,0.3066392881587953,Long,0.5,0.2970475410083706,0.1142304867950385
2026-03-06,2026-06-26,0.3066392881587953,Long,0.7,0.13829057887240476,0.08701354435656208
2026-03-06,2026-06-26,0.3066392881587953,Long,1.0,0.0019367953178523432,0.0019427338315590324
2025-12-26,2026-03-27,0.2491444216290212,Long,0.5,0.2205824788148172,0.17256163567028293
2025-12-26,2026-03-27,0.2491444216290212,Long,0.7,0.11556386901104264,0.06677361575148183
2025-12-26,2026-03-27,0.2491444216290212,Long,1.0,0.001814528166647683,0.001824271293543346
2025-02-07,2025-06-27,0.3832991101984941,Long,0.5,0.30857954854458186,0.250480656394387
2025-02-07,2025-06-27,0.3832991101984941,Long,0.7,0.17468161517182176,0.08065566591623578
2025-02-07,2025-06-27,0.3832991101984941,Long,1.0,0.002090506825132524,0.0021000288676786905
2024-10-25,2025-03-28,0.4216290212183436,Long,0.5,0.26408304455206727,0.17713491959071798
2024-10-25,2025-03-28,0.4216290212183436,Long,0.7,0.1351179262472567,0.08509944734088741
2024-10-25,2025-03-28,0.4216290212183436,Long,1.0,0.0011836683826165002,0.0011966586336916076
2024-01-26,2024-04-26,0.2491444216290212,Long,0.5,0.2861735277076286,0.03374138720308497
2024-01-26,2024-04-26,0.2491444216290212,Long,0.7,0.11331223921296671,0.06778122911583644
2024-01-26,2024-04-26,0.2491444216290212,Long,1.0,0.0038046164425184124,0.003808555752371983
2024-05-03,2024-09-27,0.4024640657084189,Long,0.5,0.3448956046929643,0.08608280123026274
2024-05-03,2024-09-27,0.4024640657084189,Long,0.7,0.18296758463551033,0.10651070953387534
2024-05-03,2024-09-27,0.4024640657084189,Long,1.0,0.00412872325467632,0.004128267011134253
2025-08-29,2025-11-28,0.2491444216290212,Long,0.5,0.23822331115201126,0.19344835242362765
2025-08-29,2025-11-28,0.2491444216290212,Long,0.7,0.1154748738638399,0.06519999858389203
2025-08-29,2025-11-28,0.2491444216290212,Long,1.0,0.003623695844140679,0.0036255876913670808
2024-08-09,2024-11-08,0.2491444216290212,Long,0.5,0.379106381403884,0.15637299444872943
2024-08-09,2024-11-08,0.2491444216290212,Long,0.7,0.17129624755387696,0.08772107717196936
2024-08-09,2024-11-08,0.2491444216290212,Long,1.0,0.0038062329970898826,0.0038130831169544137
2025-08-29,2025-12-26,0.3258042436687201,Long,0.5,0.21077661729604194,0.140440297230738
2025-08-29,2025-12-26,0.3258042436687201,Long,0.7,0.11420159860935293,0.06159003271843733
2025-08-29,2025-12-26,0.3258042436687201,Long,1.0,0.001081914031509076,0.001099731377993333
2024-05-10,2024-09-27,0.3832991101984941,Long,0.5,0.3182081635684489,0.039478744184287096
2024-05-10,2024-09-27,0.3832991101984941,Long,0.7,0.1594592698600636,0.09733495545804208
