date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-04-05,2024-04-26,0.0575,0.6391,0.9924,-0.1,0.3528,0.006041,0.006442,0.00642
2024-04-05,2024-05-31,0.1533,0.6119,1.0101,-0.1,0.4977,0.004433,0.005244,0.004146
2024-04-12,2024-06-28,0.2108,0.5946,1.0097,0.1,0.4501,0.006307,0.005729,0.005729
2024-04-12,2024-05-31,0.1342,0.5757,1.0138,-0.1,0.4346,0.009493,0.007298,0.007584
2024-04-12,2024-09-27,0.46,0.6762,1.0138,-0.1,0.3265,0.007824,0.005302,0.005304
2024-04-12,2024-04-26,0.0383,0.5869,0.9956,-0.1,0.3635,0.011036,0.010471,0.010471
2024-04-12,2024-04-19,0.0192,0.5142,8.232,0.0999,0.1309,0.012815,0.013835,0.013585
2024-04-12,2024-05-03,0.0575,0.6075,0.9913,0.1,0.2578,0.008661,0.006523,0.006523
2024-04-19,2024-06-28,0.1916,0.5808,1.0139,0.1,0.4635,0.006101,0.005723,0.005408
2024-04-19,2024-05-31,0.115,0.5954,1.014,0.1,0.4333,0.007787,0.006431,0.00651
2024-04-19,2024-09-27,0.4408,0.661,1.0131,-0.1,0.3165,0.004891,0.003229,0.003125
2024-04-19,2024-05-03,0.0383,0.6774,0.963,-0.1,0.2672,0.013218,0.01036,0.010251
2024-04-19,2024-04-26,0.0192,0.6787,3.8139,0.0995,0.1828,0.02135,0.010941,0.009857
2024-04-19,2024-05-10,0.0575,0.6406,1.0005,0.1,0.3526,0.014576,0.015423,0.009076
2024-04-26,2024-05-03,0.0192,0.4449,3.8884,0.1,0.1328,0.008824,0.008806,0.007473
2024-04-26,2024-05-10,0.0383,0.4642,1.0073,0.1,0.2776,0.009396,0.006361,0.006252
2024-04-26,2024-05-17,0.0575,0.4667,1.0073,0.1,0.2843,0.007754,0.007546,0.006679
2024-04-26,2024-05-31,0.0958,0.4691,1.0082,0.1,0.3581,0.019089,0.008618,0.008028
2024-04-26,2024-06-28,0.1725,0.501,1.0175,0.1,0.3413,0.006275,0.007371,0.006004
2024-04-26,2024-07-26,0.2491,0.5346,1.0128,-0.1,0.3131,0.008719,0.008455,0.008782
2024-05-03,2024-06-28,0.1533,0.457,1.0115,0.1,0.3781,0.008582,0.005145,0.004739
2024-05-03,2024-09-27,0.4025,0.4693,1.0148,-0.1,0.3906,0.005605,0.004129,0.003915
2024-05-03,2024-05-31,0.0767,0.4572,1.0114,-0.1,0.3706,0.005482,0.0038,0.003215
2024-05-03,2024-07-26,0.23,0.4522,1.0149,0.1,0.3713,0.004401,0.004877,0.004889
2024-05-03,2024-05-17,0.0383,0.479,1.0097,-0.1,0.3149,0.008174,0.004904,0.007388
2024-05-03,2024-05-10,0.0192,0.4659,4.5611,-0.1,0.1242,0.012745,0.008737,0.008236
2024-05-03,2024-05-24,0.0575,0.4685,1.0098,-0.1,0.3242,0.00812,0.005921,0.00425
2024-05-10,2024-05-17,0.0192,0.4322,2.7625,0.1,0.1279,0.015681,0.014523,0.011905
2024-05-10,2024-05-24,0.0383,0.4274,2.6328,0.1,0.1481,0.007416,0.00665,0.005689
2024-05-10,2024-05-31,0.0575,0.4518,1.0,0.1,0.271,0.01511,0.011078,0.011078
2024-05-10,2024-06-28,0.1342,0.4648,1.0088,0.1,0.3153,0.011649,0.005805,0.005806
2024-05-10,2024-07-26,0.2108,0.4635,1.0158,0.1,0.3495,0.005822,0.005735,0.005735
2024-05-10,2024-09-27,0.3833,0.4843,1.015,-0.1,0.3686,0.001779,0.001952,0.001708
2024-05-17,2024-07-26,0.1916,0.4628,1.025,0.1,0.4638,0.007704,0.0077,0.006284
2024-05-17,2024-06-28,0.115,0.4732,1.011,0.1,0.3769,0.010287,0.005789,0.005789
2024-05-17,2024-06-07,0.0575,0.4563,1.0106,-0.1,0.3298,0.010167,0.007289,0.007438
2024-05-17,2024-05-24,0.0192,0.3582,13.3072,-0.1,0.0966,0.016491,0.014943,0.014942
2024-05-17,2024-05-31,0.0383,0.3454,9.8319,0.1,0.1346,0.007409,0.00607,0.006766
2024-05-24,2024-05-31,0.0192,0.374,5.9018,-0.1,0.1183,0.013147,0.014823,0.014823
2024-05-24,2024-06-07,0.0383,0.4313,1.0027,-0.1,0.2207,0.010351,0.013039,0.013011
2024-05-24,2024-06-14,0.0575,0.4449,1.0048,0.1,0.2468,0.007283,0.008416,0.008414
2024-05-24,2024-06-28,0.0958,0.4573,1.0096,0.1,0.3025,0.008526,0.003093,0.00302
