instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-24APR26-73000-C,BTC,2026-04-24,73000.0,C,0.10518857091033539,74024.26,0.5041,0.499,0.5107,0.0722,875.6,1.2,0.9861631848802002
BTC-24APR26-74000-C,BTC,2026-04-24,74000.0,C,0.10518855767995665,74024.26,0.4989,0.4955,0.5071,0.0649,1083.6,559.6,0.9996722696045864
BTC-24APR26-75000-C,BTC,2026-04-24,75000.0,C,0.10518854575978528,74024.26,0.49570000000000003,0.4925,0.5002,0.0585,3535.7,21.2,1.0131813543289727
BTC-24APR26-76000-C,BTC,2026-04-24,76000.0,C,0.10518853303961645,74026.98,0.4915,0.486,0.49369999999999997,0.0522,1939.5,39.6,1.0266527149966134
BTC-24APR26-77000-C,BTC,2026-04-24,77000.0,C,0.10518851987473699,74026.98,0.4882,0.4839,0.4917,0.0465,504.1,16.8,1.040161303351832
BTC-24APR26-78000-C,BTC,2026-04-24,78000.0,C,0.10518850827775243,74030.8,0.4878,0.48219999999999996,0.48619999999999997,0.0417,1551.8,21.6,1.0536155221880623
BTC-24APR26-79000-C,BTC,2026-04-24,79000.0,C,0.10518849564928892,74030.8,0.48590000000000005,0.47729999999999995,0.4855,0.037,220.0,4.8,1.0671234134981655
BTC-24APR26-80000-C,BTC,2026-04-24,80000.0,C,0.10518848328938195,74030.8,0.4836,0.47729999999999995,0.4815,0.0327,2001.7,95.7,1.080631304808269
BTC-24APR26-81000-C,BTC,2026-04-24,81000.0,C,0.10518847153525616,74029.52,0.48100000000000004,0.47409999999999997,0.4829,0.0288,160.4,18.1,1.0941581142225425
BTC-24APR26-82000-C,BTC,2026-04-24,82000.0,C,0.1051884589800872,74029.52,0.47909999999999997,0.4721,0.47659999999999997,0.0253,1196.7,5.0,1.1076662390894876
BTC-24APR26-83000-C,BTC,2026-04-24,83000.0,C,0.10518844675472785,74034.58,0.47609999999999997,0.46649999999999997,0.47609999999999997,0.022,170.3,1.2,1.1210977356797323
BTC-24APR26-84000-C,BTC,2026-04-24,84000.0,C,0.10518843152191548,74034.58,0.47609999999999997,0.4675,0.4777,0.0193,1608.4,34.5,1.1346049373144278
BTC-24APR26-85000-C,BTC,2026-04-24,85000.0,C,0.1051884201245342,74034.58,0.47490000000000004,0.4657,0.4711,0.0168,2703.5,14.6,1.1481121389491236
BTC-24APR26-86000-C,BTC,2026-04-24,86000.0,C,0.10518840681639288,74034.94,0.4715,0.4606,0.4722,0.0144,2107.2,44.2,1.161613692129689
BTC-24APR26-88000-C,BTC,2026-04-24,88000.0,C,0.1051883922409182,74034.94,0.4715,0.45899999999999996,0.4725,0.0109,884.2,60.1,1.1886279640396817
BTC-24APR26-90000-C,BTC,2026-04-24,90000.0,C,0.1051883743134459,74044.19,0.4753,0.4604,0.47619999999999996,0.0084,1797.5,15.6,1.2154903713579688
BTC-24APR26-92000-C,BTC,2026-04-24,92000.0,C,0.10518836007228052,74044.19,0.4782,0.46020000000000005,0.4792,0.0064,336.2,8.3,1.242501268499257
BTC-24APR26-94000-C,BTC,2026-04-24,94000.0,C,0.10518834762532639,74051.21,0.4753,0.46950000000000003,0.4764,0.0046,496.8,125.3,1.2693918168251401
BTC-24APR26-95000-C,BTC,2026-04-24,95000.0,C,0.10518833522859786,74051.21,0.48219999999999996,0.4731,0.4829,0.0043,1816.9,7.6,1.2828959850892374
BTC-24APR26-96000-C,BTC,2026-04-24,96000.0,C,0.10518832152476741,74051.66,0.485,0.475,0.4858,0.0038,150.2,6.9,1.2963922753385946
BTC-29MAY26-52000-C,BTC,2026-05-29,52000.0,C,0.20101297343540067,74256.4844,0.6273,0.6002000000000001,0.6665000000000001,0.3115,0.0,0.0,0.7002755438823333
BTC-29MAY26-54000-C,BTC,2026-05-29,54000.0,C,0.2010129619921984,74292.7178,0.6089,0.5806,0.6392,0.2872,0.0,0.0,0.7268545504738555
BTC-29MAY26-56000-C,BTC,2026-05-29,56000.0,C,0.20101294863465535,74292.7178,0.5916,0.5663,0.6121,0.2632,0.0,0.0,0.7537750893802946
BTC-29MAY26-57000-C,BTC,2026-05-29,57000.0,C,0.20101293600945574,74292.7178,0.5816,0.5568,0.6052000000000001,0.2513,0.0,0.0,0.7672353588335141
BTC-29MAY26-58000-C,BTC,2026-05-29,58000.0,C,0.2010129227107258,74292.7178,0.5749,0.5566,0.5968,0.2398,97.0,0.0,0.7806956282867337
BTC-29MAY26-59000-C,BTC,2026-05-29,59000.0,C,0.20101291077604128,74298.3367,0.5672,0.0,0.5866,0.2284,0.0,0.0,0.7940958387565088
BTC-29MAY26-60000-C,BTC,2026-05-29,60000.0,C,0.20101289867537456,74298.3367,0.5590999999999999,0.5442,0.5756,0.2172,1.2,0.0,0.8075550902608564
BTC-29MAY26-61000-C,BTC,2026-05-29,61000.0,C,0.20101288614476387,74298.3367,0.5546,0.5379999999999999,0.5677,0.2065,0.0,0.0,0.821014341765204
BTC-29MAY26-62000-C,BTC,2026-05-29,62000.0,C,0.20101287381762237,74298.3367,0.5482,0.5342,0.5624,0.1957,0.2,0.0,0.8344735932695516
BTC-29MAY26-63000-C,BTC,2026-05-29,63000.0,C,0.2010128606333181,74298.3367,0.5425,0.5285,0.5516,0.1853,0.4,0.0,0.8479328447738992
BTC-29MAY26-64000-C,BTC,2026-05-29,64000.0,C,0.2010128425848607,74299.51,0.5367999999999999,0.5211,0.5468,0.1751,0.0,0.0,0.8613784936132151
BTC-29MAY26-65000-C,BTC,2026-05-29,65000.0,C,0.20101282513286814,74301.3478,0.5314,0.5192,0.5403,0.1652,18.8,0.0,0.8748158939857077
BTC-29MAY26-66000-C,BTC,2026-05-29,66000.0,C,0.2010128124997465,74301.3478,0.5266,0.5119,0.5356000000000001,0.1556,82.1,0.0,0.8882746000470263
BTC-29MAY26-67000-C,BTC,2026-05-29,67000.0,C,0.20101280040874464,74295.4411,0.5218,0.51,0.5296,0.1463,70.0,0.0,0.9018049964845017
BTC-29MAY26-68000-C,BTC,2026-05-29,68000.0,C,0.2010127877814853,74295.4411,0.5175,0.509,0.5246999999999999,0.1373,427.5,0.0,0.9152647725514346
BTC-29MAY26-69000-C,BTC,2026-05-29,69000.0,C,0.20101277534156592,74298.3367,0.5133,0.5058,0.5181,0.1287,498.4,0.0,0.9286883537999848
BTC-29MAY26-70000-C,BTC,2026-05-29,70000.0,C,0.20101276125392933,74290.2044,0.5095000000000001,0.5013000000000001,0.5133,0.1204,285.9,25.0,0.9422507390489828
BTC-29MAY26-71000-C,BTC,2026-05-29,71000.0,C,0.20101274683271225,74290.2044,0.5059,0.5006,0.5094,0.1124,95.1,1.2,0.9557114638925398
BTC-29MAY26-72000-C,BTC,2026-05-29,72000.0,C,0.2010127339239993,74290.2989,0.5024000000000001,0.4979,0.5065,0.1048,393.5,0.1,0.9691709559133299
BTC-29MAY26-73000-C,BTC,2026-05-29,73000.0,C,0.20101272110429816,74290.2044,0.4993,0.4935,0.502,0.0975,100.6,4.0,0.9826329135796535
BTC-29MAY26-74000-C,BTC,2026-05-29,74000.0,C,0.20101270848549954,74294.3678,0.4963,0.4927,0.49829999999999997,0.0906,96.6,0.6,0.996037818091508
