date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-03-22,2024-04-05,0.0383,0.5704,7.9489,0.2721,4.6311,-0.1955,0.008806,0.007576,0.007335
2024-03-29,2024-04-05,0.0192,0.4062,2.9763,0.439,5.0,-0.0545,0.031911,0.021049,0.018878
2024-03-29,2024-04-12,0.0383,0.4722,7.9676,0.3374,3.3086,-0.016,0.010623,0.010178,0.010042
2024-03-29,2024-04-19,0.0575,0.5204,7.971,0.3582,2.5455,-0.0854,0.009287,0.011476,0.009175
2024-03-29,2024-04-26,0.0767,0.2336,8.1524,1.6568,5.0,-0.1295,0.008249,0.007578,0.007578
2024-03-29,2024-05-31,0.1725,0.691,3.0166,0.1155,0.6697,0.3218,0.006461,0.006465,0.006467
2024-03-29,2024-06-28,0.2491,0.7903,2.9998,0.0928,0.3623,0.3557,0.007659,0.006844,0.006661
2024-04-05,2024-04-12,0.0192,0.4701,7.901,0.0001,5.0,-0.0124,0.03053,0.018252,0.018398
2024-04-05,2024-04-19,0.0383,0.5299,7.9568,0.3245,4.7042,-0.1046,0.009076,0.007877,0.006057
2024-04-05,2024-04-26,0.0575,0.5651,7.9522,0.3087,3.262,-0.01,0.006772,0.006442,0.00642
2024-04-05,2024-05-31,0.1533,0.8358,7.9984,0.1262,1.0004,0.3033,0.0056,0.005244,0.004146
2024-04-12,2024-06-28,0.2108,0.4583,8.0005,0.5624,0.2998,0.3,0.009634,0.005729,0.005729
2024-04-12,2024-05-31,0.1342,0.421,7.9998,0.5369,0.0483,-0.0253,0.013794,0.007298,0.007584
2024-04-12,2024-09-27,0.46,0.7908,8.0,0.4734,1.0037,0.21,0.005649,0.005302,0.005304
2024-04-12,2024-04-26,0.0383,0.4842,7.9483,0.2051,4.4098,-0.0065,0.010928,0.010471,0.010471
2024-04-12,2024-04-19,0.0192,0.434,7.8783,0.0001,5.0,0.0832,0.024952,0.013835,0.013585
2024-04-12,2024-05-03,0.0575,0.4989,7.9521,0.2574,3.2988,-0.1195,0.006256,0.006523,0.006523
2024-04-19,2024-06-28,0.1916,0.8378,7.9981,0.1361,0.3005,0.3007,0.009845,0.005723,0.005408
2024-04-19,2024-05-31,0.115,0.7363,7.8594,0.1454,3.3458,-0.0635,0.00647,0.006431,0.00651
2024-04-19,2024-09-27,0.4408,0.8429,2.9955,0.1368,0.2726,0.2695,0.00348,0.003229,0.003125
2024-04-19,2024-05-03,0.0383,0.6124,7.9526,0.2924,4.736,-0.1956,0.01064,0.01036,0.010251
2024-04-19,2024-04-26,0.0192,0.6326,7.9567,0.0001,5.0,-0.0117,0.027441,0.010941,0.009857
2024-04-19,2024-05-10,0.0575,0.6241,7.9332,0.1976,4.2929,-0.1098,0.008847,0.015423,0.009076
2024-04-26,2024-05-03,0.0192,0.2453,7.9969,0.0219,1.9994,0.999,0.030875,0.008806,0.007473
2024-04-26,2024-05-10,0.0383,0.353,8.0497,0.0002,4.8229,-0.1397,0.007096,0.006361,0.006252
2024-04-26,2024-05-17,0.0575,0.3507,7.93,0.0292,2.8743,0.0137,0.008104,0.007546,0.006679
2024-04-26,2024-05-31,0.0958,0.3944,2.9327,0.0117,2.6719,-0.1554,0.008178,0.008618,0.008028
2024-04-26,2024-06-28,0.1725,0.4066,3.0009,0.1086,0.2021,0.188,0.008152,0.007371,0.006004
2024-04-26,2024-07-26,0.2491,0.3989,1.0006,0.1011,0.2629,0.263,0.008859,0.008455,0.008782
2024-05-03,2024-06-28,0.1533,0.4258,2.9391,0.0003,2.2549,0.0485,0.00478,0.005145,0.004739
2024-05-03,2024-09-27,0.4025,0.3935,0.999,0.096,0.3519,0.3466,0.004195,0.004129,0.003915
2024-05-03,2024-05-31,0.0767,0.2178,7.9429,0.7126,5.0,-0.0817,0.00494,0.0038,0.003215
2024-05-03,2024-07-26,0.23,0.3991,2.9984,0.0931,1.0258,0.1089,0.00479,0.004877,0.004889
2024-05-03,2024-05-17,0.0383,0.1664,7.9013,1.1943,5.0,0.0491,0.006137,0.004904,0.007388
